score_criterion,S,A
Italien,0,0
Schweiz,5,0
Türkei,0,5
Wales,5,5
Belgien,0,1
Dänemark,5,3
Finnland,0,3
Russland,5,3
Niederlande,0,3
Nordmazedonien,0,0
Österreich,10,0
Ukraine,0,7
England,0,0
Kroatien,8,10
Schottland,2,0
Tschechien,0,0
Polen,8,5
Schweden,2,5
Slowakei,0,0
Spanien,0,0
Deutschland,5,0
Frankreich,5,0
Portugal,0,10
Ungarn,0,0
semifinalist1,Kroatien,Deutschland
semifinalist2,Niederlande,Portugal
semifinalist3,Schweiz,Frankreich
semifinalist4,Frankreich,Italien
winner1,Frankreich,Deutschland
loser1,England,Belgien
winner2,Italien,Portugal
loser2,Portugal,Spanien
winner3,Kroatien,Kroatien
loser3,Dänemark,Schweiz
winner4,Schweden,Türkei
loser4,Wales,Russland
winner5,Österreich,Österreich
loser5,Ukraine,Slowakei
winner6,Schottland,Ungarn
loser6,Nordmazedonien,Nordmazedonien
